train_loss,epoch,step,val_loss
1.1134458780288696,0,4,
,0,6,1.1097825765609741
1.1349961757659912,1,9,
,1,13,1.1097825765609741
1.1152305603027344,2,14,
1.1486808061599731,2,19,
,2,20,1.1097825765609741
1.122580885887146,3,24,
,3,27,1.1097825765609741
1.1204869747161865,4,29,
1.0657068490982056,4,34,
,4,34,1.1097825765609741
1.1236591339111328,5,39,
,5,41,1.1097825765609741
1.1305359601974487,6,44,
,6,48,1.1097825765609741
1.1465433835983276,7,49,
1.1512115001678467,7,54,
,7,55,1.1097825765609741
1.1226576566696167,8,59,
,8,62,1.1097825765609741
1.116519808769226,9,64,
1.1490263938903809,9,69,
,9,69,1.1097825765609741
1.1334335803985596,10,74,
,10,76,1.1097825765609741
1.1382862329483032,11,79,
,11,83,1.1097825765609741
1.1178739070892334,12,84,
1.1387674808502197,12,89,
,12,90,1.1097825765609741
1.115105390548706,13,94,
,13,97,1.1097825765609741
1.1490919589996338,14,99,
1.1365972757339478,14,104,
,14,104,1.1097825765609741
1.1239038705825806,15,109,
,15,111,1.1097825765609741
1.1158593893051147,16,114,
,16,118,1.1097825765609741
1.1248658895492554,17,119,
1.1253150701522827,17,124,
,17,125,1.1097825765609741
1.1558246612548828,18,129,
,18,132,1.1097825765609741
1.1288535594940186,19,134,
1.1532094478607178,19,139,
,19,139,1.1097825765609741
1.115052342414856,20,144,
,20,146,1.1097825765609741
1.1396228075027466,21,149,
,21,153,1.1097825765609741
1.1389994621276855,22,154,
1.1023824214935303,22,159,
,22,160,1.1097825765609741
1.1423790454864502,23,164,
,23,167,1.1097825765609741
1.1173807382583618,24,169,
1.1660493612289429,24,174,
,24,174,1.1097825765609741
1.1147834062576294,25,179,
,25,181,1.1097825765609741
1.128893494606018,26,184,
,26,188,1.1097825765609741
1.145134449005127,27,189,
1.1193045377731323,27,194,
,27,195,1.1097825765609741
1.1207194328308105,28,199,
,28,202,1.1097825765609741
1.1086957454681396,29,204,
1.0906822681427002,29,209,
,29,209,1.1097825765609741
1.129564642906189,30,214,
,30,216,1.1097825765609741
1.1377018690109253,31,219,
,31,223,1.1097825765609741
1.1239417791366577,32,224,
1.1424834728240967,32,229,
,32,230,1.1097825765609741
1.1497435569763184,33,234,
,33,237,1.1097825765609741
1.1146111488342285,34,239,
1.093800663948059,34,244,
,34,244,1.1097825765609741
1.0957192182540894,35,249,
,35,251,1.1097825765609741
1.1132619380950928,36,254,
,36,258,1.1097825765609741
1.1356104612350464,37,259,
1.1061910390853882,37,264,
,37,265,1.1097825765609741
1.159739375114441,38,269,
,38,272,1.1097825765609741
1.1321766376495361,39,274,
1.1682406663894653,39,279,
,39,279,1.1097825765609741
1.1485618352890015,40,284,
,40,286,1.1097825765609741
1.1557838916778564,41,289,
,41,293,1.1097825765609741
1.1227271556854248,42,294,
1.1250005960464478,42,299,
,42,300,1.1097825765609741
1.1373447179794312,43,304,
,43,307,1.1097825765609741
1.1194266080856323,44,309,
1.1735963821411133,44,314,
,44,314,1.1097825765609741
1.1102889776229858,45,319,
,45,321,1.1097825765609741
1.1151096820831299,46,324,
,46,328,1.1097825765609741
1.1322767734527588,47,329,
1.1180992126464844,47,334,
,47,335,1.1097825765609741
1.1231695413589478,48,339,
,48,342,1.1097825765609741
1.1302167177200317,49,344,
1.1395301818847656,49,349,
,49,349,1.1097825765609741
