train_loss,step,epoch,val_loss
0.7976717948913574,4,0,
,6,0,0.7457613945007324
0.693886935710907,9,1,
,13,1,0.7457613945007324
0.6927400231361389,14,2,
0.778398334980011,19,2,
,20,2,0.7457613945007324
0.7032716274261475,24,3,
,27,3,0.7457613945007324
0.7813321352005005,29,4,
0.7777085304260254,34,4,
,34,4,0.7457613945007324
0.7678185701370239,39,5,
,41,5,0.7457613945007324
0.7703574895858765,44,6,
,48,6,0.7457613945007324
0.8153202533721924,49,7,
0.7150746583938599,54,7,
,55,7,0.7457613945007324
0.7316606640815735,59,8,
,62,8,0.7457613945007324
0.8038089275360107,64,9,
0.6622974872589111,69,9,
,69,9,0.7457613945007324
0.726697564125061,74,10,
,76,10,0.7457613945007324
0.6114119291305542,79,11,
,83,11,0.7457613945007324
0.7889266014099121,84,12,
0.7292201519012451,89,12,
,90,12,0.7457613945007324
0.685048520565033,94,13,
,97,13,0.7457613945007324
0.6728364825248718,99,14,
0.6593502759933472,104,14,
,104,14,0.7457613945007324
0.8146957755088806,109,15,
,111,15,0.7457613945007324
0.6988800764083862,114,16,
,118,16,0.7457613945007324
0.7900063395500183,119,17,
0.7510135769844055,124,17,
,125,17,0.7457613945007324
0.7772059440612793,129,18,
,132,18,0.7457613945007324
0.7864907383918762,134,19,
0.6097932457923889,139,19,
,139,19,0.7457613945007324
0.8201983571052551,144,20,
,146,20,0.7457613945007324
0.7548134326934814,149,21,
,153,21,0.7457613945007324
0.7006388306617737,154,22,
0.6494864225387573,159,22,
,160,22,0.7457613945007324
0.7273549437522888,164,23,
,167,23,0.7457613945007324
0.7385692000389099,169,24,
1.1273735761642456,174,24,
,174,24,0.7457613945007324
0.7054877877235413,179,25,
,181,25,0.7457613945007324
0.7215960025787354,184,26,
,188,26,0.7457613945007324
0.7687922716140747,189,27,
0.7499351501464844,194,27,
,195,27,0.7457613945007324
0.7195624113082886,199,28,
,202,28,0.7457613945007324
0.66433185338974,204,29,
0.6531171202659607,209,29,
,209,29,0.7457613945007324
0.7134608030319214,214,30,
,216,30,0.7457613945007324
0.7637413740158081,219,31,
,223,31,0.7457613945007324
0.7380079030990601,224,32,
0.7334318161010742,229,32,
,230,32,0.7457613945007324
0.7124606966972351,234,33,
,237,33,0.7457613945007324
0.7546771168708801,239,34,
0.8146820068359375,244,34,
,244,34,0.7457613945007324
0.726289689540863,249,35,
,251,35,0.7457613945007324
0.7323473691940308,254,36,
,258,36,0.7457613945007324
0.8349462151527405,259,37,
0.6972358822822571,264,37,
,265,37,0.7457613945007324
0.6545923352241516,269,38,
,272,38,0.7457613945007324
0.7906662821769714,274,39,
0.7684329152107239,279,39,
,279,39,0.7457613945007324
0.818479061126709,284,40,
,286,40,0.7457613945007324
0.7284915447235107,289,41,
,293,41,0.7457613945007324
0.7283260226249695,294,42,
0.7388386726379395,299,42,
,300,42,0.7457613945007324
0.7579704523086548,304,43,
,307,43,0.7457613945007324
0.7933839559555054,309,44,
0.7384090423583984,314,44,
,314,44,0.7457613945007324
0.737453818321228,319,45,
,321,45,0.7457613945007324
0.6534055471420288,324,46,
,328,46,0.7457613945007324
0.7157436013221741,329,47,
0.8274651765823364,334,47,
,335,47,0.7457613945007324
0.8187012672424316,339,48,
,342,48,0.7457613945007324
0.7686883807182312,344,49,
0.5899348258972168,349,49,
,349,49,0.7457613945007324
