mse,step,r2_score,epoch,val_loss,train_loss
193.1640625,4,-5.390246868133545,0,193.1640625,
177.91014099121094,9,-4.423320770263672,1,,177.91014099121094
178.59181213378906,9,-4.911696910858154,1,178.59181213378906,
164.8236083984375,14,-4.45928430557251,2,164.8236083984375,
196.55459594726562,19,-3.3488574028015137,3,,196.55459594726562
151.8417205810547,19,-4.032495975494385,3,151.8417205810547,
139.64952087402344,24,-3.6312918663024902,4,139.64952087402344,
127.994140625,29,-6.812875270843506,5,,127.994140625
128.21253967285156,29,-3.25469708442688,5,128.21253967285156,
117.47071838378906,34,-2.9003233909606934,6,117.47071838378906,
118.13468933105469,39,-2.9142203330993652,7,,118.13468933105469
107.3768081665039,39,-2.566664457321167,7,107.3768081665039,
97.90583038330078,44,-2.2533247470855713,8,97.90583038330078,
93.9186782836914,49,-3.912546157836914,9,,93.9186782836914
88.94184875488281,49,-1.9560680389404297,9,88.94184875488281,
80.37287139892578,54,-1.6711212396621704,10,80.37287139892578,
69.84573364257812,59,-4.7359514236450195,11,,69.84573364257812
72.20777893066406,59,-1.3987576961517334,11,72.20777893066406,
64.6396255493164,64,-1.1465673446655273,12,64.6396255493164,
61.4224853515625,69,-0.9110009670257568,13,,61.4224853515625
57.39763641357422,69,-0.9048061370849609,13,57.39763641357422,
50.57634353637695,74,-0.6768951416015625,14,50.57634353637695,
58.52926254272461,79,-0.9036060571670532,15,,58.52926254272461
44.12184524536133,79,-0.46094799041748047,15,44.12184524536133,
38.15653610229492,84,-0.26133501529693604,16,38.15653610229492,
31.11065673828125,89,-0.42589104175567627,17,,31.11065673828125
32.61988067626953,89,-0.07593967765569687,17,32.61988067626953,
27.598541259765625,94,0.09216725826263428,18,27.598541259765625,
20.64266586303711,99,0.25015854835510254,19,,20.64266586303711
23.113712310791016,99,0.24224138259887695,19,23.113712310791016,
