r2_score,step,epoch,mse,val_loss,train_loss
-1.9912887811660767,4,0,89.92581939697266,89.92581939697266,
-0.30300307273864746,9,1,42.74456024169922,,42.74456024169922
0.04353175312280655,9,1,28.937061309814453,28.937061309814453,
0.7882665395736694,14,2,6.694537162780762,6.694537162780762,
0.796218752861023,19,3,9.210267066955566,,9.210267066955566
0.5807899236679077,19,3,12.892440795898438,12.892440795898438,
0.7536280155181885,24,4,7.719004154205322,7.719004154205322,
0.7909502387046814,29,5,3.4247498512268066,,3.4247498512268066
0.7707352638244629,29,5,7.2775139808654785,7.2775139808654785,
0.7842090725898743,34,6,6.880697727203369,6.880697727203369,
0.9174414277076721,39,7,2.491692543029785,,2.491692543029785
0.7821272611618042,39,7,6.876662254333496,6.876662254333496,
0.777279257774353,44,8,7.04806661605835,7.04806661605835,
0.7752317190170288,49,9,4.297147750854492,,4.297147750854492
0.8065944910049438,49,9,6.200570583343506,6.200570583343506,
0.8041415214538574,54,10,6.231066703796387,6.231066703796387,
0.5469076633453369,59,11,5.51723051071167,,5.51723051071167
0.8056913614273071,59,11,6.188450813293457,6.188450813293457,
0.8101488351821899,64,12,6.074119567871094,6.074119567871094,
0.8156939744949341,69,13,5.923877716064453,,5.923877716064453
0.8103296160697937,69,13,6.072358131408691,6.072358131408691,
0.7904525399208069,74,14,6.618492126464844,6.618492126464844,
0.8209036588668823,79,15,5.506588935852051,,5.506588935852051
0.7936277389526367,79,15,6.609882354736328,6.609882354736328,
0.8041399121284485,84,16,6.230960369110107,6.230960369110107,
0.8291481733322144,89,17,3.7277133464813232,,3.7277133464813232
0.8100129961967468,89,17,6.077291965484619,6.077291965484619,
0.8035125732421875,94,18,6.274125099182129,6.274125099182129,
0.8761603236198425,99,19,3.4092283248901367,,3.4092283248901367
0.8045257329940796,99,19,6.2206315994262695,6.2206315994262695,
