feature_importance_5,feature_importance_6,feature_importance_1,feature_importance_4,feature_importance_7,feature_importance_3,feature_importance_9,step,feature_importance_8,epoch,feature_importance_2,accuracy,feature_importance_0
0.1140483170747757,0.10992863029241562,0.10787267982959747,0.10053005069494247,0.07059112936258316,0.10081267356872559,0.08734153211116791,9,0.11784781515598297,0,0.09523284435272217,0.3125,0.09579427540302277
0.11406144499778748,0.10990217328071594,0.10790389031171799,0.1004948690533638,0.0705714076757431,0.10083327442407608,0.08736062794923782,12,0.11787313222885132,0,0.09520800411701202,0.3799999952316284,0.09579102694988251
0.11404997855424881,0.1098526120185852,0.10795780271291733,0.10042215883731842,0.07057061791419983,0.10090219229459763,0.08739842474460602,19,0.11788539588451385,1,0.09516069293022156,0.28125,0.09580010920763016
0.11406200379133224,0.1098121926188469,0.1080036535859108,0.10035013407468796,0.07054883241653442,0.10094966739416122,0.0874268040060997,25,0.11790923774242401,1,0.09513711929321289,0.3799999952316284,0.09580032527446747
0.11405232548713684,0.10978645086288452,0.10803244262933731,0.10033601522445679,0.07052543014287949,0.1009695827960968,0.08744475245475769,29,0.11792308837175369,2,0.09511641412973404,0.25,0.09581338614225388
0.11403121799230576,0.10971767455339432,0.10810384899377823,0.10024764388799667,0.07048150151968002,0.10104098916053772,0.08749008923768997,38,0.11798878014087677,2,0.09506262838840485,0.38999998569488525,0.09583554416894913
0.11403121799230576,0.10971767455339432,0.10810385644435883,0.10024764388799667,0.07048150151968002,0.10104098916053772,0.08749008923768997,39,0.11798877269029617,3,0.09506262093782425,0.28125,0.09583554416894913
0.11404077708721161,0.1096811518073082,0.10817953199148178,0.10013367235660553,0.07044483721256256,0.10109829157590866,0.08753489702939987,49,0.11804477125406265,3,0.09503600746393204,0.40625,0.09580598026514053
0.11405372619628906,0.10967063903808594,0.10820453613996506,0.1001119613647461,0.07042445987462997,0.1011195108294487,0.08754917234182358,51,0.11806631833314896,3,0.09500642120838165,0.38999998569488525,0.09579328447580338
0.11409300565719604,0.10964981466531754,0.10824644565582275,0.10005206614732742,0.0704263225197792,0.10115468502044678,0.0875488668680191,59,0.11810203641653061,4,0.0949595645070076,0.375,0.09576726704835892
0.11410006880760193,0.10961255431175232,0.1082792729139328,0.1000223457813263,0.0704040452837944,0.1011882796883583,0.08757761865854263,64,0.11813469976186752,4,0.09492379426956177,0.38999998569488525,0.09575732052326202
0.11408620327711105,0.10958723723888397,0.108310267329216,0.10000166296958923,0.07036469876766205,0.10121658444404602,0.08760332316160202,69,0.1181640475988388,5,0.09489383548498154,0.25,0.09577208757400513
0.11407733708620071,0.10954596847295761,0.10835114121437073,0.09994771331548691,0.07034065574407578,0.10126461833715439,0.08762567490339279,77,0.11823979020118713,5,0.09482982754707336,0.38999998569488525,0.0957772433757782
0.11407999694347382,0.10953676700592041,0.10836055874824524,0.09993681311607361,0.0703301951289177,0.10127655416727066,0.08763263374567032,79,0.11824802309274673,6,0.09482071548700333,0.3125,0.09577778726816177
0.11414258927106857,0.10947592556476593,0.10843705385923386,0.0998254120349884,0.07024133205413818,0.10135671496391296,0.08765023201704025,89,0.11834622174501419,6,0.09475475549697876,0.4375,0.09576971083879471
0.11415001004934311,0.10946277529001236,0.10845019668340683,0.09980682283639908,0.07023104280233383,0.10136836767196655,0.08766462653875351,90,0.11835356056690216,6,0.09474218636751175,0.38999998569488525,0.09577039629220963
0.11418052017688751,0.10941363126039505,0.10850587487220764,0.09976067394018173,0.07020771503448486,0.10141071677207947,0.08771977573633194,99,0.11836649477481842,7,0.09467153996229172,0.28125,0.09576305747032166
0.1141858771443367,0.10937478393316269,0.1085389256477356,0.09970424324274063,0.07019682228565216,0.10143627226352692,0.08774556964635849,103,0.11839050054550171,7,0.09466122835874557,0.38999998569488525,0.09576573967933655
0.11419359594583511,0.10935456305742264,0.10854420065879822,0.09964930266141891,0.07020127773284912,0.1014791876077652,0.08774950355291367,109,0.11841701716184616,8,0.0946396216750145,0.4375,0.09577173739671707
0.11420545727014542,0.1093081533908844,0.10857155174016953,0.09955940395593643,0.070181705057621,0.10155633091926575,0.0877789556980133,116,0.11846545338630676,8,0.09460064768791199,0.3799999952316284,0.09577233344316483
0.11420871317386627,0.10929925739765167,0.10859395563602448,0.09953797608613968,0.07017497718334198,0.10156762599945068,0.08777730911970139,119,0.11847524344921112,9,0.09459446370601654,0.25,0.09577038139104843
0.11424943059682846,0.10925889015197754,0.10866519808769226,0.09945176541805267,0.07015722244977951,0.1016019806265831,0.08781208842992783,129,0.11852439492940903,9,0.0945192202925682,0.25,0.09575991332530975
0.11425294727087021,0.10924986749887466,0.10866968333721161,0.09944412112236023,0.07015673816204071,0.10160866379737854,0.08781389892101288,129,0.11853034049272537,9,0.09451603144407272,0.3799999952316284,0.09575773030519485
