precision_class_1,recall_class_1,step,recall_class_0,epoch,recall_class_2,precision_class_2,precision_class_0,train_loss,val_loss
0.1818181872367859,0.2222222238779068,9,0.4615384638309479,0,0.4000000059604645,0.2857142984867096,0.8571428656578064,1.0977487564086914,
0.4023376405239105,0.5022222399711609,12,0.18666666746139526,0,0.39587879180908203,0.3853968381881714,0.19809524714946747,,1.0986324548721313
0.5384615659713745,0.5,19,0.4615384638309479,1,0.4000000059604645,0.1818181872367859,0.75,1.0962891578674316,
0.3293333351612091,0.3333333134651184,25,0.3199999928474426,1,0.2630303204059601,0.3163636326789856,0.21456411480903625,,1.0994364023208618
0.5833333134651184,0.6363636255264282,29,0.38461539149284363,2,0.75,0.5,0.625,1.0927834510803223,
0.2963636517524719,0.2888889014720917,38,0.3866666853427887,2,0.3187878727912903,0.3790476322174072,0.2666666805744171,,1.099901795387268
0.20000000298023224,0.25,39,0.23076923191547394,3,0.1818181872367859,0.1818181872367859,0.27272728085517883,1.0989673137664795,
0.4545454680919647,0.4166666567325592,49,0.4166666567325592,3,0.5,0.4000000059604645,0.4545454680919647,1.092086672782898,
0.27212122082710266,0.29777777194976807,51,0.30666667222976685,3,0.3187878727912903,0.3911111056804657,0.2435431331396103,,1.1003997325897217
0.8181818127632141,0.6428571343421936,59,0.5555555820465088,4,0.6666666865348816,0.5,0.5555555820465088,1.0859259366989136,
0.2701818346977234,0.29777777194976807,64,0.2800000011920929,4,0.3187878727912903,0.3866666853427887,0.22317948937416077,,1.1010947227478027
0.27272728085517883,0.30000001192092896,69,0.27272728085517883,5,0.27272728085517883,0.27272728085517883,0.30000001192092896,1.0969253778457642,
0.2818182110786438,0.3244444727897644,77,0.2800000011920929,5,0.28969699144363403,0.40799999237060547,0.2103496491909027,,1.1017580032348633
0.5833333134651184,0.6363636255264282,79,0.3076923191547394,6,0.5,0.3636363744735718,0.4444444477558136,1.086254596710205,
0.6666666865348816,0.4000000059604645,89,0.4000000059604645,6,0.2857142984867096,0.1666666716337204,0.3636363744735718,1.090928077697754,
0.2963636517524719,0.3244444727897644,90,0.3199999928474426,6,0.3110302984714508,0.42133334279060364,0.22769230604171753,,1.1025304794311523
0.5454545617103577,0.5454545617103577,99,0.46666666865348816,7,0.5,0.27272728085517883,0.699999988079071,1.0901156663894653,
0.3034747540950775,0.3244444727897644,103,0.36000001430511475,7,0.3110302984714508,0.38836365938186646,0.25958043336868286,,1.1031405925750732
0.625,0.38461539149284363,109,0.30000001192092896,8,0.8888888955116272,0.5,0.375,1.0894150733947754,
0.2963636517524719,0.3244444727897644,116,0.2800000011920929,8,0.3110302984714508,0.3955555856227875,0.2133333384990692,,1.1037195920944214
0.3333333432674408,0.20000000298023224,119,0.10000000149011612,9,0.5,0.3333333432674408,0.125,1.0968204736709595,
0.3333333432674408,0.3333333432674408,129,0.0,9,0.4000000059604645,0.4000000059604645,0.0,1.0971441268920898,
0.3070302903652191,0.36000001430511475,129,0.2800000011920929,9,0.28969699144363403,0.3813333511352539,0.22317948937416077,,1.104266881942749
