epoch,step,r2_score,mse,val_loss,train_loss
56,2393,-4.837571144104004,1253238505472.0,1253238505472.0,
57,2399,-4.169027328491211,1212367765504.0,,1212367765504.0
57,2435,-4.837565898895264,1253237325824.0,1253237325824.0,
58,2449,-2.3470585346221924,2402512535552.0,,2402512535552.0
58,2477,-4.83756160736084,1253236670464.0,1253236670464.0,
59,2499,-6.710483551025391,1178043154432.0,,1178043154432.0
59,2519,-4.837557315826416,1253235621888.0,1253235621888.0,
60,2549,-3.5841784477233887,1453593985024.0,,1453593985024.0
60,2561,-4.83755350112915,1253234704384.0,1253234704384.0,
61,2599,-3.918452262878418,1779229523968.0,,1779229523968.0
61,2603,-4.837549209594727,1253233917952.0,1253233917952.0,
62,2645,-4.837543964385986,1253232869376.0,1253232869376.0,
63,2649,-2.519611358642578,1586139758592.0,,1586139758592.0
63,2687,-4.837540626525879,1253231951872.0,1253231951872.0,
64,2699,-3.584038257598877,1385484517376.0,,1385484517376.0
64,2729,-4.837535381317139,1253231165440.0,1253231165440.0,
65,2749,-2.8206374645233154,1262494285824.0,,1262494285824.0
65,2771,-4.837531566619873,1253230247936.0,1253230247936.0,
66,2799,-4.334234714508057,1825512882176.0,,1825512882176.0
66,2813,-4.837527275085449,1253229330432.0,1253229330432.0,
67,2849,-6.052004337310791,885860401152.0,,885860401152.0
67,2855,-4.837522983551025,1253228412928.0,1253228412928.0,
68,2897,-4.837517738342285,1253227626496.0,1253227626496.0,
69,2899,-2.9051759243011475,1481738289152.0,,1481738289152.0
69,2939,-4.8375139236450195,1253226708992.0,1253226708992.0,
70,2949,-1.8609347343444824,1668436983808.0,,1668436983808.0
70,2981,-4.837509632110596,1253225660416.0,1253225660416.0,
71,2999,-4.033969879150391,1501029597184.0,,1501029597184.0
71,3023,-4.837504863739014,1253224873984.0,1253224873984.0,
72,3049,-5.1562581062316895,1058970402816.0,,1058970402816.0
72,3065,-4.837501049041748,1253223956480.0,1253223956480.0,
73,3099,-2.1338939666748047,1726020583424.0,,1726020583424.0
73,3107,-4.837496280670166,1253223038976.0,1253223038976.0,
74,3149,-8.618732452392578,962505015296.0,,962505015296.0
74,3149,-4.837491512298584,1253222252544.0,1253222252544.0,
75,3191,-4.83748722076416,1253221335040.0,1253221335040.0,
76,3199,-2.7819790840148926,1513222701056.0,,1513222701056.0
76,3233,-4.8374834060668945,1253220286464.0,1253220286464.0,
77,3249,-2.869809865951538,1554813812736.0,,1554813812736.0
77,3275,-4.8374786376953125,1253219500032.0,1253219500032.0,
78,3299,-4.415204048156738,1235512983552.0,,1235512983552.0
78,3317,-4.837474822998047,1253218582528.0,1253218582528.0,
79,3349,-5.0362348556518555,1267346178048.0,,1267346178048.0
79,3359,-4.837470531463623,1253217796096.0,1253217796096.0,
80,3399,-4.232097148895264,1264621977600.0,,1264621977600.0
80,3401,-4.837465763092041,1253216878592.0,1253216878592.0,
81,3443,-4.837460994720459,1253215830016.0,1253215830016.0,
82,3449,-4.907873630523682,1093542215680.0,,1093542215680.0
82,3485,-4.837456703186035,1253215043584.0,1253215043584.0,
83,3499,-1.6706628799438477,1947507884032.0,,1947507884032.0
83,3527,-4.837452411651611,1253213995008.0,1253213995008.0,
84,3549,-6.8589186668396,955348353024.0,,955348353024.0
84,3569,-4.8374481201171875,1253213208576.0,1253213208576.0,
85,3599,-5.565063953399658,1226537304064.0,,1226537304064.0
85,3611,-4.837443828582764,1253212291072.0,1253212291072.0,
86,3649,-12.412692070007324,835766583296.0,,835766583296.0
86,3653,-4.83743953704834,1253211504640.0,1253211504640.0,
87,3695,-4.837434768676758,1253210456064.0,1253210456064.0,
88,3699,-4.267339706420898,1256862515200.0,,1256862515200.0
88,3737,-4.837430477142334,1253209538560.0,1253209538560.0,
89,3749,-4.734379291534424,1385963454464.0,,1385963454464.0
89,3779,-4.83742618560791,1253208752128.0,1253208752128.0,
90,3799,-6.395573616027832,1307957788672.0,,1307957788672.0
90,3821,-4.837421894073486,1253207834624.0,1253207834624.0,
91,3849,-5.215904235839844,861629972480.0,,861629972480.0
91,3863,-4.8374176025390625,1253206786048.0,1253206786048.0,
92,3899,-2.7016992568969727,1235810910208.0,,1235810910208.0
92,3905,-4.8374128341674805,1253206130688.0,1253206130688.0,
93,3947,-4.837409019470215,1253205082112.0,1253205082112.0,
94,3949,-3.3213753700256348,1338415251456.0,,1338415251456.0
94,3989,-4.837404727935791,1253204164608.0,1253204164608.0,
95,3999,-3.481502056121826,1002832658432.0,,1002832658432.0
95,4031,-4.837399482727051,1253203378176.0,1253203378176.0,
96,4049,-6.296457290649414,941277708288.0,,941277708288.0
96,4073,-4.837395668029785,1253202460672.0,1253202460672.0,
97,4099,-4.709280490875244,1060588617728.0,,1060588617728.0
97,4115,-4.837390422821045,1253201412096.0,1253201412096.0,
98,4149,-4.236032485961914,1025721892864.0,,1025721892864.0
98,4157,-4.837387561798096,1253200625664.0,1253200625664.0,
99,4199,-1.4985864162445068,2312472887296.0,,2312472887296.0
99,4199,-4.8373823165893555,1253199708160.0,1253199708160.0,
