epoch,val_accuracy,step,feature_importance_9,feature_importance_6,feature_importance_0,feature_importance_4,feature_importance_2,feature_importance_3,feature_importance_7,feature_importance_8,feature_importance_5,train_accuracy,feature_importance_1
0,0.3100000023841858,1,,,,,,,,,,,
1,0.3499999940395355,3,,,,,,,,,,,
2,0.3799999952316284,5,,,,,,,,,,,
3,0.3100000023841858,7,,,,,,,,,,,
4,,9,0.12254901960784313,0.0784313725490196,0.09803921568627451,0.10784313725490197,0.09803921568627451,0.08333333333333333,0.06372549019607843,0.10294117647058823,0.13725490196078433,0.6666666865348816,0.10784313725490197
4,0.3400000035762787,9,,,,,,,,,,,
5,0.33000001311302185,11,,,,,,,,,,,
6,0.30000001192092896,13,,,,,,,,,,,
7,0.30000001192092896,15,,,,,,,,,,,
8,0.33000001311302185,17,,,,,,,,,,,
9,,19,0.13399503722084366,0.07692307692307693,0.0794044665012407,0.12158808933002481,0.13399503722084366,0.08436724565756824,0.07444168734491315,0.09429280397022333,0.10421836228287841,0.7430555820465088,0.0967741935483871
9,0.3700000047683716,19,,,,,,,,,,,
10,0.33000001311302185,21,,,,,,,,,,,
11,0.3400000035762787,23,,,,,,,,,,,
12,0.3400000035762787,25,,,,,,,,,,,
13,0.33000001311302185,27,,,,,,,,,,,
14,,29,0.1322314049586777,0.06942148760330578,0.08264462809917356,0.1305785123966942,0.1256198347107438,0.08429752066115702,0.07272727272727272,0.11074380165289256,0.10743801652892562,0.7361111044883728,0.08429752066115702
14,0.3400000035762787,29,,,,,,,,,,,
15,0.33000001311302185,31,,,,,,,,,,,
16,0.3100000023841858,33,,,,,,,,,,,
17,0.3199999928474426,35,,,,,,,,,,,
18,0.3199999928474426,37,,,,,,,,,,,
19,,39,0.13382899628252787,0.06319702602230483,0.08302354399008674,0.12639405204460966,0.1251548946716233,0.10037174721189591,0.07311028500619579,0.10161090458488228,0.10780669144981413,0.7361111044883728,0.08550185873605948
19,0.30000001192092896,39,,,,,,,,,,,
20,0.3100000023841858,41,,,,,,,,,,,
21,0.28999999165534973,43,,,,,,,,,,,
22,0.3100000023841858,45,,,,,,,,,,,
23,0.30000001192092896,47,,,,,,,,,,,
24,,49,0.13306852035749753,0.05858987090367428,0.0814299900695134,0.11717974180734857,0.1300893743793446,0.10427010923535253,0.07447864945382324,0.11022840119165839,0.09930486593843098,0.7083333134651184,0.0913604766633565
24,0.3100000023841858,49,,,,,,,,,,,
25,0.3199999928474426,51,,,,,,,,,,,
26,0.3199999928474426,53,,,,,,,,,,,
27,0.3199999928474426,55,,,,,,,,,,,
28,0.3199999928474426,57,,,,,,,,,,,
29,,59,0.12924606462303231,0.06296603148301574,0.0811930405965203,0.11350455675227837,0.1300745650372825,0.10936205468102735,0.07705053852526926,0.11019055509527755,0.09527754763877382,0.6944444179534912,0.09113504556752279
29,0.3400000035762787,59,,,,,,,,,,,
30,0.3400000035762787,61,,,,,,,,,,,
31,0.33000001311302185,63,,,,,,,,,,,
32,0.3199999928474426,65,,,,,,,,,,,
33,0.3400000035762787,67,,,,,,,,,,,
34,,69,0.1300639658848614,0.06254442075337598,0.08315565031982942,0.11371712864250177,0.12864250177683015,0.10305614783226724,0.07746979388770434,0.10589907604832978,0.10021321961620469,0.7569444179534912,0.09523809523809523
34,0.3400000035762787,69,,,,,,,,,,,
35,0.33000001311302185,71,,,,,,,,,,,
36,0.3400000035762787,73,,,,,,,,,,,
37,0.3400000035762787,75,,,,,,,,,,,
38,0.3400000035762787,77,,,,,,,,,,,
39,,79,0.1285892634207241,0.06491885143570537,0.08614232209737828,0.1198501872659176,0.12734082397003746,0.10237203495630462,0.07553058676654183,0.10112359550561797,0.10362047440699126,0.7708333134651184,0.09051186017478152
39,0.3499999940395355,79,,,,,,,,,,,
40,0.3499999940395355,81,,,,,,,,,,,
41,0.3400000035762787,83,,,,,,,,,,,
42,0.3499999940395355,85,,,,,,,,,,,
43,0.3400000035762787,87,,,,,,,,,,,
44,,89,0.12611111111111112,0.0661111111111111,0.08666666666666667,0.12055555555555555,0.12166666666666667,0.10222222222222223,0.07777777777777778,0.105,0.10222222222222223,0.7361111044883728,0.09166666666666666
44,0.3499999940395355,89,,,,,,,,,,,
45,0.3499999940395355,91,,,,,,,,,,,
46,0.3499999940395355,93,,,,,,,,,,,
47,0.3400000035762787,95,,,,,,,,,,,
48,0.3400000035762787,97,,,,,,,,,,,
49,,99,0.11984087518647439,0.06911984087518648,0.08901044256588762,0.12033814022874192,0.12083540527100944,0.10193933366484337,0.07906514172053705,0.10243659870711089,0.10691198408751865,0.7986111044883728,0.09050223769269021
49,0.3400000035762787,99,,,,,,,,,,,
50,0.3400000035762787,101,,,,,,,,,,,
51,0.33000001311302185,103,,,,,,,,,,,
52,0.3199999928474426,105,,,,,,,,,,,
53,0.3199999928474426,107,,,,,,,,,,,
54,,109,0.1171945701357466,0.06877828054298643,0.09276018099547512,0.12081447963800905,0.12171945701357466,0.09819004524886878,0.08190045248868778,0.10180995475113122,0.10950226244343891,0.7847222089767456,0.08733031674208144
54,0.3199999928474426,109,,,,,,,,,,,
55,0.3100000023841858,111,,,,,,,,,,,
56,0.3199999928474426,113,,,,,,,,,,,
57,0.3199999928474426,115,,,,,,,,,,,
58,0.3400000035762787,117,,,,,,,,,,,
59,,119,0.11433305716652858,0.0695940347970174,0.09113504556752279,0.12468931234465618,0.12427506213753108,0.10024855012427507,0.08243579121789561,0.10190555095277548,0.10729080364540182,0.8611111044883728,0.08409279204639603
59,0.3400000035762787,119,,,,,,,,,,,
60,0.3400000035762787,121,,,,,,,,,,,
61,0.3400000035762787,123,,,,,,,,,,,
62,0.33000001311302185,125,,,,,,,,,,,
63,0.33000001311302185,127,,,,,,,,,,,
64,,129,0.11539931218952999,0.07145586549484143,0.09170806266717615,0.12457011845624762,0.12265953381734811,0.09858616736721437,0.08330149025601834,0.10393580435613298,0.10737485670615209,0.8125,0.08100878868933893
64,0.33000001311302185,129,,,,,,,,,,,
65,0.33000001311302185,131,,,,,,,,,,,
66,0.33000001311302185,133,,,,,,,,,,,
67,0.3199999928474426,135,,,,,,,,,,,
68,0.3400000035762787,137,,,,,,,,,,,
69,,139,0.11418439716312057,0.0726950354609929,0.09184397163120567,0.12234042553191489,0.12056737588652482,0.1,0.08226950354609928,0.10638297872340426,0.10673758865248227,0.7986111044883728,0.08297872340425531
69,0.3499999940395355,139,,,,,,,,,,,
70,0.36000001430511475,141,,,,,,,,,,,
71,0.3499999940395355,143,,,,,,,,,,,
72,0.3400000035762787,145,,,,,,,,,,,
73,0.3499999940395355,147,,,,,,,,,,,
74,,149,0.11151555261416281,0.07478491065519524,0.09199205823957644,0.12309728656518862,0.11879549966909332,0.1015883520847121,0.0827266710787558,0.10589013898080742,0.10390469887491727,0.7777777910232544,0.085704831237591
74,0.3400000035762787,149,,,,,,,,,,,
75,0.3499999940395355,151,,,,,,,,,,,
76,0.36000001430511475,153,,,,,,,,,,,
77,0.3400000035762787,155,,,,,,,,,,,
78,0.33000001311302185,157,,,,,,,,,,,
79,,159,0.11028269648959305,0.07579993786890339,0.09350730040385213,0.12146629388008698,0.11680646163404784,0.1043802423112768,0.08170239204721963,0.10593351972662317,0.10469089779434607,0.8402777910232544,0.08543025784405095
79,0.3499999940395355,159,,,,,,,,,,,
80,0.3499999940395355,161,,,,,,,,,,,
81,0.3400000035762787,163,,,,,,,,,,,
82,0.3400000035762787,165,,,,,,,,,,,
83,0.3400000035762787,167,,,,,,,,,,,
84,,169,0.10749853544229643,0.07820738137082602,0.09197422378441711,0.12331575864089045,0.11452841241944933,0.1051552431165788,0.08230814294083187,0.1060339777387229,0.1051552431165788,0.7986111044883728,0.08582308142940832
84,0.33000001311302185,169,,,,,,,,,,,
85,0.3400000035762787,171,,,,,,,,,,,
86,0.33000001311302185,173,,,,,,,,,,,
87,0.3400000035762787,175,,,,,,,,,,,
88,0.3400000035762787,177,,,,,,,,,,,
89,,179,0.10828729281767956,0.0781767955801105,0.09088397790055248,0.12320441988950276,0.11602209944751381,0.10441988950276243,0.08342541436464089,0.10552486187845304,0.10524861878453039,0.8125,0.08480662983425415
89,0.33000001311302185,179,,,,,,,,,,,
90,0.3400000035762787,181,,,,,,,,,,,
91,0.3499999940395355,183,,,,,,,,,,,
92,0.3400000035762787,185,,,,,,,,,,,
93,0.3499999940395355,187,,,,,,,,,,,
94,,189,0.10744234800838574,0.07914046121593292,0.09040880503144653,0.12316561844863731,0.11504192872117401,0.10455974842767296,0.08176100628930817,0.10718029350104821,0.1069182389937107,0.8333333134651184,0.08438155136268344
94,0.3499999940395355,189,,,,,,,,,,,
95,0.3499999940395355,191,,,,,,,,,,,
96,0.3499999940395355,193,,,,,,,,,,,
97,0.3499999940395355,195,,,,,,,,,,,
98,0.3499999940395355,197,,,,,,,,,,,
99,,199,0.10776505724240916,0.07889497262319561,0.09084121453459433,0.12294673967147834,0.1174713787954206,0.10228969636635142,0.08262817322050771,0.10751617720258835,0.10701841712294674,0.8402777910232544,0.08262817322050771
99,0.3499999940395355,199,,,,,,,,,,,
